file_name,bbox,x1,y1,x2,y2,width,height,bbox_area,mask_area
img0001.jpg,0,0,0,0,0,0,0,0,0
img0011.jpg,0,28,165,57,204,29,39,1131,384
img0011.jpg,1,56,205,96,227,40,22,880,338
img0011.jpg,2,64,169,81,184,17,15,255,154
img0011.jpg,3,74,308,168,342,94,34,3196,2688
img0011.jpg,4,96,110,127,124,31,14,434,215
img0011.jpg,5,367,289,449,360,82,71,5822,3977
img0011.jpg,6,403,376,432,388,29,12,348,190
img0011.jpg,7,463,281,544,386,81,105,8505,5251
img0011.jpg,8,500,69,527,92,27,23,621,157
img0011.jpg,9,507,36,548,74,41,38,1558,285
img0011.jpg,10,521,11,578,64,57,53,3021,882
img0011.jpg,11,544,0,597,45,53,45,2385,922
img0011.jpg,12,632,238,783,377,151,139,20989,14803
img0021.jpg,0,64,313,131,338,67,25,1675,1252
img0021.jpg,1,352,295,419,342,67,47,3149,2629
img0021.jpg,2,456,291,507,342,51,51,2601,2067
img0021.jpg,3,629,281,685,332,56,51,2856,2300
img0021.jpg,4,732,272,780,328,48,56,2688,2277
img0031.jpg,0,48,316,121,340,73,24,1752,1209
img0031.jpg,1,335,297,400,340,65,43,2795,2349
img0031.jpg,2,440,293,489,341,49,48,2352,1820
img0031.jpg,3,615,283,665,331,50,48,2400,2000
img0031.jpg,4,720,272,778,327,58,55,3190,2893
img0041.jpg,0,27,318,90,339,63,21,1323,1050
img0041.jpg,1,310,297,374,338,64,41,2624,2167
img0041.jpg,2,417,293,463,339,46,46,2116,1711
img0041.jpg,3,591,284,640,331,49,47,2303,1943
img0041.jpg,4,690,272,778,328,88,56,4928,4149
img0051.jpg,0,0,320,54,338,54,18,972,760
img0051.jpg,1,266,303,329,337,63,34,2142,1398
img0051.jpg,2,372,297,418,338,46,41,1886,1619
img0051.jpg,3,545,288,592,333,47,45,2115,1858
img0051.jpg,4,648,274,751,327,103,53,5459,4600
img0061.jpg,0,91,298,156,339,65,41,2665,2159
img0061.jpg,1,238,316,259,339,21,23,483,334
img0061.jpg,2,489,313,539,355,50,42,2100,1746
img0061.jpg,3,610,316,640,357,30,41,1230,973
img0071.jpg,0,86,296,150,337,64,41,2624,2107
img0071.jpg,1,233,312,254,336,21,24,504,351
img0071.jpg,2,483,311,534,351,51,40,2040,1723
img0071.jpg,3,608,313,636,351,28,38,1064,907
img0071.jpg,4,791,313,800,351,9,38,342,293
img0081.jpg,0,80,296,144,337,64,41,2624,2213
img0081.jpg,1,225,312,247,336,22,24,528,372
img0081.jpg,2,477,311,528,352,51,41,2091,1755
img0081.jpg,3,599,316,629,353,30,37,1110,849
img0081.jpg,4,785,308,800,351,15,43,645,590
img0091.jpg,0,66,296,129,337,63,41,2583,2256
img0091.jpg,1,209,316,232,336,23,20,460,279
img0091.jpg,2,463,311,514,352,51,41,2091,1737
img0091.jpg,3,586,316,615,351,29,35,1015,811
img0091.jpg,4,769,307,800,351,31,44,1364,1146
img0101.jpg,0,40,296,102,337,62,41,2542,2095
img0101.jpg,1,181,311,203,335,22,24,528,344
img0101.jpg,2,433,311,486,350,53,39,2067,1673
img0101.jpg,3,554,316,585,349,31,33,1023,772
img0101.jpg,4,742,309,783,354,41,45,1845,1425
img0111.jpg,0,7,299,66,337,59,38,2242,1900
img0111.jpg,1,143,308,164,335,21,27,567,348
img0111.jpg,2,396,312,448,347,52,35,1820,1551
img0111.jpg,3,514,316,545,351,31,35,1085,861
img0111.jpg,4,705,309,746,355,41,46,1886,1443
img0121.jpg,0,0,296,31,336,31,40,1240,961
img0121.jpg,1,100,305,121,332,21,27,567,432
img0121.jpg,2,357,311,408,344,51,33,1683,1387
img0121.jpg,3,474,314,504,350,30,36,1080,836
img0121.jpg,4,665,307,703,351,38,44,1672,1326
img0121.jpg,5,771,313,800,354,29,41,1189,1050
img0131.jpg,0,61,306,81,332,20,26,520,410
img0131.jpg,1,313,308,365,340,52,32,1664,1366
img0131.jpg,2,433,312,463,346,30,34,1020,826
img0131.jpg,3,625,307,665,351,40,44,1760,1403
img0131.jpg,4,736,305,767,351,31,46,1426,1272
img0141.jpg,0,20,304,38,330,18,26,468,331
img0141.jpg,1,272,311,320,338,48,27,1296,1013
img0141.jpg,2,391,313,418,342,27,29,783,621
img0141.jpg,3,585,312,622,351,37,39,1443,1146
img0141.jpg,4,692,307,731,351,39,44,1716,1364
img0151.jpg,0,223,304,272,336,49,32,1568,1182
img0151.jpg,1,345,313,367,337,22,24,528,438
img0151.jpg,2,539,313,576,352,37,39,1443,1070
img0151.jpg,3,649,306,686,351,37,45,1665,1305
img0151.jpg,4,765,305,800,353,35,48,1680,1576
img0162.jpg,0,136,300,188,335,52,35,1820,1401
img0162.jpg,1,257,318,279,336,22,18,396,295
img0162.jpg,2,457,311,494,348,37,37,1369,1105
img0162.jpg,3,567,312,599,350,32,38,1216,927
img0162.jpg,4,680,305,745,351,65,46,2990,2410
img0172.jpg,0,79,300,127,334,48,34,1632,1396
img0172.jpg,1,193,314,217,333,24,19,456,378
img0172.jpg,2,396,310,432,344,36,34,1224,888
img0172.jpg,3,506,312,538,349,32,37,1184,994
img0172.jpg,4,623,305,683,351,60,46,2760,2261
img0172.jpg,5,758,305,800,356,42,51,2142,1819
img0182.jpg,0,16,298,62,333,46,35,1610,1252
img0182.jpg,1,126,306,150,330,24,24,576,409
img0182.jpg,2,331,309,363,338,32,29,928,737
img0182.jpg,3,442,311,475,346,33,35,1155,931
img0182.jpg,4,558,312,617,351,59,39,2301,1920
img0182.jpg,5,696,306,763,351,67,45,3015,2584
img0193.jpg,0,50,303,71,331,21,28,588,399
img0193.jpg,1,251,314,283,336,32,22,704,531
img0193.jpg,2,367,312,396,340,29,28,812,682
img0193.jpg,3,481,310,540,351,59,41,2419,1997
img0193.jpg,4,622,305,687,354,65,49,3185,2674
img0204.jpg,0,125,306,158,335,33,29,957,790
img0204.jpg,1,239,313,266,337,27,24,648,500
img0204.jpg,2,358,312,414,344,56,32,1792,1533
img0204.jpg,3,493,312,561,351,68,39,2652,2269
img0204.jpg,4,739,307,800,359,61,52,3172,2601
img0214.jpg,0,40,303,70,331,30,28,840,659
img0214.jpg,1,150,302,179,332,29,30,870,673
img0214.jpg,2,270,309,323,338,53,29,1537,1156
img0214.jpg,3,408,310,476,347,68,37,2516,2081
img0214.jpg,4,657,305,729,355,72,50,3600,2949
img0224.jpg,0,61,301,87,332,26,31,806,629
img0224.jpg,1,174,303,228,336,54,33,1782,1395
img0224.jpg,2,319,307,383,340,64,33,2112,1806
img0224.jpg,3,569,313,638,351,69,38,2622,2239
img0234.jpg,0,79,297,133,333,54,36,1944,1610
img0234.jpg,1,221,303,283,337,62,34,2108,1564
img0234.jpg,2,474,310,542,350,68,40,2720,2258
img0234.jpg,3,744,309,792,351,48,42,2016,1714
img0244.jpg,0,0,296,32,332,32,36,1152,1002
img0244.jpg,1,115,299,179,334,64,35,2240,1788
img0244.jpg,2,373,309,439,343,66,34,2244,1814
img0244.jpg,3,641,309,697,351,56,42,2352,1944
img0244.jpg,4,785,315,800,351,15,36,540,451
img0254.jpg,0,16,298,71,333,55,35,1925,1575
img0254.jpg,1,265,311,328,337,63,26,1638,1332
img0254.jpg,2,536,313,591,351,55,38,2090,1591
img0254.jpg,3,688,308,767,351,79,43,3397,3105
img0254.jpg,4,786,314,800,351,14,37,518,353
img0264.jpg,0,151,302,216,336,65,34,2210,1631
img0264.jpg,1,429,311,484,348,55,37,2035,1643
img0264.jpg,2,577,310,663,351,86,41,3526,2788
img0264.jpg,3,683,313,714,352,31,39,1209,935
img0274.jpg,0,45,297,103,334,58,37,2146,1686
img0274.jpg,1,318,308,369,339,51,31,1581,1348
img0274.jpg,2,465,310,552,351,87,41,3567,2932
img0274.jpg,3,575,318,600,348,25,30,750,592
img0274.jpg,4,745,309,774,351,29,42,1218,853
img0284.jpg,0,200,304,251,336,51,32,1632,1334
img0284.jpg,1,353,308,438,344,85,36,3060,2518
img0284.jpg,2,455,312,486,347,31,35,1085,903
img0284.jpg,3,631,313,661,350,30,37,1110,760
img0294.jpg,0,81,300,131,335,50,35,1750,1437
img0294.jpg,1,230,305,313,340,83,35,2905,2175
img0294.jpg,2,336,310,362,340,26,30,780,589
img0294.jpg,3,510,316,539,347,29,31,899,724
img0294.jpg,4,692,313,766,351,74,38,2812,2449
img0304.jpg,0,0,298,15,331,15,33,495,367
img0304.jpg,1,107,299,190,336,83,37,3071,2661
img0304.jpg,2,209,306,236,335,27,29,783,563
img0304.jpg,3,389,315,415,341,26,26,676,561
img0304.jpg,4,572,316,647,351,75,35,2625,2032
img0314.jpg,0,0,296,64,334,64,38,2432,2198
img0314.jpg,1,81,303,110,330,29,27,783,579
img0314.jpg,2,260,318,280,335,20,17,340,242
img0314.jpg,3,446,311,523,349,77,38,2926,2374
img0314.jpg,4,673,309,713,351,40,42,1680,1297
img0314.jpg,5,785,315,800,351,15,36,540,492
img0324.jpg,0,129,309,153,331,24,22,528,337
img0324.jpg,1,321,308,394,340,73,32,2336,1724
img0324.jpg,2,553,318,591,347,38,29,1102,918
img0324.jpg,3,663,305,725,351,62,46,2852,2196
img0324.jpg,4,785,313,800,351,15,38,570,496
